주류명,주종,원산지,용량,도수,제조사,특성
보해소주,소주,대한민국,375,16.8,보해양조,보해소주의 가장 큰 특징은 소금을 넣었다는 것입니다. 수억 년 전 태초의 바다로부터 온 히말라야 핑크솔트와 안데스산맥 호수 소금 그리고 남해바다 신안 토판염까지 세계 3대 소금을 더했습니다. 바다로부터 얻은 가장 자연스러운 소금으로 소주의 쓴맛과 알코올 향을 잡았습니다. 게다가 용량을 기존 녹색병 소주보다 15ml를 늘려 더욱 넉넉하게 즐기실 수 있습니다.
잎새주,소주,대한민국,360,16.5,보해양조,"잎새주는 100% 자연에서 추출한 감미료만을 사용했습니다. 잎새주는 당과 나트륨, MSG를 넣지 않은 소주입니다. 지하 253M 방울샘 천연암반수로 빚은 잎새주. 일반 수돗물을 걸러서 만든 소주와는 비교할 수 없을 만큼 그 맛이 싱그럽습니다."
보해골드,소주,대한민국,375,23,보해양조,"보해골드는 지난 1992년, 희석식 소주의 고급화를 목표로 출시된 후 큰 인기를 얻다가 저도주 열풍으로 잠시 사라졌지만 제품을 찾는 소비자들의 요청이 이어지면서 2017년 재출시 됐습니다. 국내산 쌀보리 주정으로 만들어지며 여기에 최고급 보성녹차를 더해 한층 더 부드럽고 깊은 소주 본연의 맛을 느낄 수 있습니다. 소주 본래의 맛을 기억하고 그리워하는 분들을 위한 술, 바로 보해골드입니다."
여수밤바다,소주,대한민국,360,16.5,보해양조,"2019년 출시된 여수밤바다는 관광명소인 여수를 위해 제작한 특화제품으로 여수를 상징하는 돌산대교와 반짝이는 별빛을 이미지화 시킨 아름다운 소주 라벨이 특징입니다. 2022년 7월에는 웹툰작가 기안84와 협업하여 리뉴얼 제품을 출시했습니다. “여수밤바다 아트홀”이라는 콘셉트로, 제품 라벨을 캔버스로 활용해 작가의 작품을 전시하며 많은 소비자들에게 꾸준한 사랑을 받고 있습니다."
천년애,소주,대한민국,360,17.2,보해양조,천년애는 소주 특유의 알코올 향과 쓴맛을 줄이면서도 소주의 좋은 맛은 남겼습니다.
한라산 21,소주,대한민국,360,21,한라산소주,청정 제주에서 생산된 쌀로 만든 증류원액과 화산암반수로 만든 프리미엄 소주입니다.
한라산 17,소주,대한민국,360,17,한라산소주,청정 제주에서 생산된 쌀로 만든 증류원액과 화산암반수로 만든 프리미엄 소주입니다. 순하고 목넘긴이 부드러운 저도수 소주입니다
시원한 청풍,소주,대한민국,360,16.7,충북소주,
이제우린,소주,대한민국,360,16.5,맥키스컴퍼니,산소가 3배 많아 깔끔한 목넘김과 맛이 부드럽습니다.
선양,소주,대한민국,360,14.9,맥키스컴퍼니,"국내 최저 도수, 국내 최저 칼로리 소주입니다. 제로 슈거입니다."
린21,소주,대한민국,360,21,맥키스컴퍼니,100% 국내산 보리증원액을 첨가한 유일한 희석식 보리소주
다이아몬드,소주,대한민국,360,16.9,대선주조,"에리스리톨 첨가, 식물성 토마틴 첨가, 다중 수(水)처리 공정 정제수 사용"
시원블루,소주,대한민국,360,16.5,대선주조,"헬시플레저 트렌드에 발맞춘 무가당 소주, 최고급 식물성 원료 토마틴 첨가, 5중 水처리 정제수 사용. 제로 슈거"
대선,소주,대한민국,360,16.5,대선주조,"과당, 소금 아미노산 등 무첨가. 기존 제품 보다 낮은 칼로리. 식물성 원료 토마틴 첨가 제로슈거."
시원,소주,대한민국,360,19,대선주조,"부산의 상징 'C1소주' 식물성 토마틴 첨가 아스파라진, 아르지닌 첨가"
준마이다이긴죠겐슈 사카마이 키쿠스이,사케,일본,720,17,키쿠스이,"전 세계에서 오직 키쿠스이에서만 재배 가능한 [환상의 쌀 키쿠스이], 프리미엄 그 이상의 사케 50여년 만에 부활시킨 환상의 쌀 [키쿠스이]와 니이가타현의 깨끗한 물, 그리고 키쿠스이의 양조기술로 탄생시킨 명주로?상쾌한 향기와 원주(겐슈) 특유의 깊이가 특징인 사케입니다."
사카마이 키쿠스이 준마이 다이긴죠,사케,일본,720,15,키쿠스이,환상의 쌀 [키쿠스이]를 부활시켜 만든 준마이다이긴죠! 기분 좋은 향기와 부드러운 맛이 특징으로 키쿠스이의 자신감으로 빚어낸 준마이다이긴죠입니다.
키쿠스이 준마이,사케,일본,720,15,키쿠스이,"여름에는 시원하게, 겨울에는 따뜻하게 즐기는 준마이 풍부한 감칠맛, 하지만 결코 무겁지 않은 깊은 맛으로 많은 분들에게 사랑 받고 있는?키쿠스이를 대표하는 준마이입니다."
키쿠스이 카라구치,사케,일본,720,15,키쿠스이,"부드러운 맛이 기존의 준마이와 차별성을 보여주는 사케 니이가타 사케의 특징인 깨끗하고 깔끔한 맛의 선구자! 1978년 당시 유행하였던 달았던 사케를 대신하여 어떤 음식과도 어울리는 깨끗하고 깔끔한 맛의 사케가 탄생하였습니다.?그 이후, 키쿠스이 카라구치는 니이가타 사케의 기반을 만들며 유행을 선도하는 사케로 자리매김 하였습니다."
다카시미즈 준마이 다이긴죠,사케,일본,720,15.5,다카시미즈,아키타 우수 기능자 표창에 빛나는 장인의 혼을 담은 다카시미즈 프리미엄 사케
다카시미즈 혼죠조,사케,일본,720,15.5,다카시미즈,양조장의 자랑인 맑은 물을 사용한 고품격의 혼죠조! 다카시미즈 베스트 셀러
다카시미즈 준마이 겐테이,사케,일본,720,15.3,다카시미즈,기존 준마이의 한정판으로 한정된 업장에만 공급하고 있는 준마이
다카시미즈 다이긴죠,사케,일본,720,15.5,다카시미즈,상쾌한 향기와 깨끗한 맛! 아키타현 우수 기능자 표창에 빛나는 장인이 정성껏 빚은 다이긴죠
마보로시 준마이 긴죠,사케,일본,720,15.5,마보로시,화려한 향과 상쾌함으로 쌓은 명성이 라벨 그대로 환상인 사케
아마노토 준마이 다이긴죠45,사케,일본,720,16.5,아모노토,준마이 다이긴죠의 품격! 철저한 수작업을 통해 소량 생산
하이네켄,맥주 ,네덜란드 ,500,5,하이네켄,하이네켄은 100% 보리 맥아와 하이네켄만의 독자적인 효모 에이-이스트(A-Yeast)로 만든 골드 컬러의 라거 맥주입니다. 이 에이-이스트가 하이네켄 특유의 깊은 풍미와 미세한 과일 향을 만들어 가벼우면서도 부드럽게 쌉쌀한 맛이 탄생할 수 있었습니다. 하이네켄 캔 역시 이러한 하이네켄 맥주의 완벽함을 그대로를 간직하고 있습니다.
켈리,맥주,대한민국,355,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
켈리,맥주,대한민국,365,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
켈리,맥주,대한민국,463,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
켈리,맥주,대한민국,500,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
켈리,맥주,대한민국,1000,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
켈리,맥주,대한민국,1600,4.5,하이트진로,"북대서양에서 불어오는 해풍을 맞고 자라 부드러운 덴마크 프리미엄 맥아 100%와 더블 숙성 공법으로 탄산감이 강렬한 맥주 '켈리' 입에 닿을 때는 부드럽고, 목으로 넘어갈 때는 탄산감이 강렬한 완벽한 밸런스의 라거 맥주입니다."
테라,맥주,대한민국,250,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
테라,맥주,대한민국,355,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
테라,맥주,대한민국,463,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
테라,맥주,대한민국,500,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
테라,맥주,대한민국,1000,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
테라,맥주,대한민국,1600,4.6,하이트진로,테라는 세계 공기질 부문 1위 호주에서 자란 청정맥아와 오직 발효공정에서 나오는 리얼탄산을 100% 사용하여 거품은 조밀하고 탄산은 오래 지속됩니다.
하이트,맥주,대한민국,330,4.5,하이트진로,"숙성에서부터 여과까지 생산 전 공정을 맥주가 얼기 직전, 영하의 온도에서 제조하여 시원하고 청량한 페일라거 맥주 본연의 맛을 극대화"
하이트,맥주,대한민국,355,4.5,하이트진로,"숙성에서부터 여과까지 생산 전 공정을 맥주가 얼기 직전, 영하의 온도에서 제조하여 시원하고 청량한 페일라거 맥주 본연의 맛을 극대화"
하이트,맥주,대한민국,500,4.5,하이트진로,"숙성에서부터 여과까지 생산 전 공정을 맥주가 얼기 직전, 영하의 온도에서 제조하여 시원하고 청량한 페일라거 맥주 본연의 맛을 극대화"
하이트,맥주,대한민국,1000,4.5,하이트진로,"숙성에서부터 여과까지 생산 전 공정을 맥주가 얼기 직전, 영하의 온도에서 제조하여 시원하고 청량한 페일라거 맥주 본연의 맛을 극대화"
하이트,맥주,대한민국,1600,4.5,하이트진로,"숙성에서부터 여과까지 생산 전 공정을 맥주가 얼기 직전, 영하의 온도에서 제조하여 시원하고 청량한 페일라거 맥주 본연의 맛을 극대화"
맥스,맥주,대한민국,355,4.5,하이트진로,"국내 최초 All Malt Beer로서, 크리미한 맥주 거품과 All Malt Beer 15년의 내공으로 재탄생했습니다."
맥스,맥주,대한민국,500,4.5,하이트진로,"국내 최초 All Malt Beer로서, 크리미한 맥주 거품과 All Malt Beer 15년의 내공으로 재탄생했습니다."
맥스,맥주,대한민국,1000,4.5,하이트진로,"국내 최초 All Malt Beer로서, 크리미한 맥주 거품과 All Malt Beer 15년의 내공으로 재탄생했습니다."
맥스,맥주,대한민국,1600,4.5,하이트진로,"국내 최초 All Malt Beer로서, 크리미한 맥주 거품과 All Malt Beer 15년의 내공으로 재탄생했습니다."
에스 라이트,맥주,대한민국,330,3.8,하이트진로,"초고발효(SAB) 공법으로 탄수화물을 극소화 시켜 맥주 대비 34% 낮은 100 mL당 26칼로리로 완성, 기존 맛은 유지했습니다. 알코올 도수를 기존과 동일한 3.8%로 구현하여 가볍고 상쾌한 맛뿐만 아니라 부드럽고 편안한 목넘김을 선사합니다."
스타우트,맥주,대한민국,355,5,하이트진로,"누구나 가볍게 즐길 수 있는 부드럽고 깔끔한 라거타입 흑맥주, 스타우트!"
필라이트,맥주,대한민국,355,4.5,하이트진로,늘 새로움을 추구하는 필라이트의 새로운 에디션을 통해 일상 속 즐거움과 시원상쾌함을 느껴보세요!
1664 블랑,맥주,프랑스,330,5,크로넨버그,"프렌치 퀴진에서 사용되는 오렌지, 그레이프 프룻, 레몬, 코리앤더 등을 사용하여, 상쾌한 시트러스 향과 독특한 플로럴 향이 특징인 밀맥주"
1664 블랑,맥주,프랑스,500,5,크로넨버그,"프렌치 퀴진에서 사용되는 오렌지, 그레이프 프룻, 레몬, 코리앤더 등을 사용하여, 상쾌한 시트러스 향과 독특한 플로럴 향이 특징인 밀맥주"
1664 블랑 라거,맥주,프랑스,330,5,크로넨버그,"완벽히 균형 잡힌 바디를 가지고 있으며, 약간의 쓴맛과 크리미하고 부드러운 거품이 특징. 특히 홉 중의 최상품인 스트리셀팔트(Strisselspalt)를 사용하여, 깔끔하게 절제된 쓴맛과 아로마와 과일향이 어우러지는 슈퍼 프리미엄 맥주"
1664 블랑 라거,맥주,프랑스,500,5,크로넨버그,"완벽히 균형 잡힌 바디를 가지고 있으며, 약간의 쓴맛과 크리미하고 부드러운 거품이 특징. 특히 홉 중의 최상품인 스트리셀팔트(Strisselspalt)를 사용하여, 깔끔하게 절제된 쓴맛과 아로마와 과일향이 어우러지는 슈퍼 프리미엄 맥주"
써머스비,맥주,덴마크,330,4.5,칼스버그,"써머스비(Somersby)는 사과로 발효하여 만든 알코올 4.5%의 저 알코올 과실주입니다. 향긋한 사과향과 달콤한 맛, 그리고 상쾌한 청량감을 주는 탄산 거품을 느낄 수 있습니다."
써머스비,맥주,덴마크,500,4.5,칼스버그,"써머스비(Somersby)는 사과로 발효하여 만든 알코올 4.5%의 저 알코올 과실주입니다. 향긋한 사과향과 달콤한 맛, 그리고 상쾌한 청량감을 주는 탄산 거품을 느낄 수 있습니다."
파울라너 바이스비어,맥주,독일,330,5.5,파울라너,"풍부하고 크리미한 거품 아래 바나나 힌트와 2,500여 개의 아로마를 즐길 수 있는 정통 독일식 프리미엄 밀맥주 	육류, 생선, 샐러드, 치즈, 파스타 등 대부분의 음식과 잘 어울림"
파울라너 바이스비어,맥주,독일,500,5.5,파울라너,"풍부하고 크리미한 거품 아래 바나나 힌트와 2,500여 개의 아로마를 즐길 수 있는 정통 독일식 프리미엄 밀맥주 	육류, 생선, 샐러드, 치즈, 파스타 등 대부분의 음식과 잘 어울림"
기린 이치방 시보리,맥주,일본,330,5,기린브루,맥아의 첫 번째 즙만을 사용한 ‘이치방 시보리 제법’으로 더욱 맑고 깨끗한 맥주 100% all malt이기에 맥주 본연의 풍부하고 깊은 맛 140년 이상의 오랜 역사를 지닌 기린 맥주사의 핵심 브랜드
기린 이치방 시보리,맥주,일본,350,5,기린브루,맥아의 첫 번째 즙만을 사용한 ‘이치방 시보리 제법’으로 더욱 맑고 깨끗한 맥주 100% all malt이기에 맥주 본연의 풍부하고 깊은 맛 140년 이상의 오랜 역사를 지닌 기린 맥주사의 핵심 브랜드
기린 이치방 시보리,맥주,일본,500,5,기린브루,맥아의 첫 번째 즙만을 사용한 ‘이치방 시보리 제법’으로 더욱 맑고 깨끗한 맥주 100% all malt이기에 맥주 본연의 풍부하고 깊은 맛 140년 이상의 오랜 역사를 지닌 기린 맥주사의 핵심 브랜드
싱하,맥주,태국,330,5,분럿,"태국 왕실의 명성과 권위를 이어받은 유일한 태국 맥주. 100% 보리맥주의 풀바디감과 독일산 이스트, 홉의 쌉싸름한 맛이 특징"
